,Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,De Aker - Nieuw Sloten,52.343079,4.788886,Molen van Sloten,52.34157969249928,4.792270660400391,Monument / Landmark
1,De Aker - Nieuw Sloten,52.343079,4.788886,De Patatza(a)k,52.34146,4.79253,Snack Place
2,De Aker - Nieuw Sloten,52.343079,4.788886,Speeltuin Sloten,52.34170280814588,4.795679272255508,Playground
3,De Aker - Nieuw Sloten,52.343079,4.788886,IJshoeve,52.341324,4.793758,Ice Cream Shop
4,De Aker - Nieuw Sloten,52.343079,4.788886,Syriana,52.34191281246877,4.792767540319466,Middle Eastern Restaurant
5,De Aker - Nieuw Sloten,52.343079,4.788886,Restaurant De Halve Maen,52.34122309174193,4.793097466813496,Restaurant
6,Osdorp,52.35595,4.79661,Şerifoğlu Osdorp,52.35729320045701,4.795337960192134,Dessert Shop
7,Osdorp,52.35595,4.79661,Beymen café & restaurant,52.357292590881656,4.795867714028245,Turkish Restaurant
8,Osdorp,52.35595,4.79661,Warung Spang Makandra,52.35714748238426,4.794915899758567,Indonesian Restaurant
9,Osdorp,52.35595,4.79661,Sahan Restaurant,52.35836579204695,4.8003088795736115,Turkish Restaurant
10,Osdorp,52.35595,4.79661,Stadspark Osdorp,52.35766499732175,4.798734571913346,Park
11,Osdorp,52.35595,4.79661,Ken-Ichi,52.35830225502692,4.800566091948069,Sushi Restaurant
12,Osdorp,52.35595,4.79661,Verona Gelati,52.3565365,4.7928277,Ice Cream Shop
13,Osdorp,52.35595,4.79661,Albert Heijn,52.35215769141597,4.79949761513138,Supermarket
14,Osdorp,52.35595,4.79661,Febo,52.358085330954815,4.800173119234341,Snack Place
15,Osdorp,52.35595,4.79661,Lidl,52.356741329515,4.793327698291337,Supermarket
16,Osdorp,52.35595,4.79661,Coffee Blends,52.358565,4.801622,Coffee Shop
17,Osdorp,52.35595,4.79661,Leziz Restaurant,52.35169859048194,4.798447103054376,Mediterranean Restaurant
18,Osdorp,52.35595,4.79661,Dirk van den Broek,52.358175,4.8027974,Supermarket
19,Osdorp,52.35595,4.79661,Bertram & brood,52.35848,4.800958,Bakery
20,Osdorp,52.35595,4.79661,Cafetaria Eethuis Family,52.35177995961844,4.798943774435929,Snack Place
21,Osdorp,52.35622,4.79544,Şerifoğlu Osdorp,52.35729320045701,4.795337960192134,Dessert Shop
22,Osdorp,52.35622,4.79544,Beymen café & restaurant,52.357292590881656,4.795867714028245,Turkish Restaurant
23,Osdorp,52.35622,4.79544,Warung Spang Makandra,52.35714748238426,4.794915899758567,Indonesian Restaurant
24,Osdorp,52.35622,4.79544,Sahan Restaurant,52.35836579204695,4.8003088795736115,Turkish Restaurant
25,Osdorp,52.35622,4.79544,Stadspark Osdorp,52.35766499732175,4.798734571913346,Park
26,Osdorp,52.35622,4.79544,Ken-Ichi,52.35830225502692,4.800566091948069,Sushi Restaurant
27,Osdorp,52.35622,4.79544,Verona Gelati,52.3565365,4.7928277,Ice Cream Shop
28,Osdorp,52.35622,4.79544,Lidl,52.356741329515,4.793327698291337,Supermarket
29,Osdorp,52.35622,4.79544,Febo,52.358085330954815,4.800173119234341,Snack Place
30,Osdorp,52.35622,4.79544,Coffee Blends,52.358565,4.801622,Coffee Shop
31,Osdorp,52.35622,4.79544,Bertram & brood,52.35848,4.800958,Bakery
32,De Aker - Nieuw Sloten,52.34255,4.80578,Royal Fook Long,52.34503771008483,4.810421442023208,Chinese Restaurant
33,De Aker - Nieuw Sloten,52.34255,4.80578,Velodrome Sloten,52.33967793516416,4.807933258202772,Racetrack
34,De Aker - Nieuw Sloten,52.34255,4.80578,Café Restaurant Kerkzicht,52.34144684057444,4.7995410803678125,Pub
35,De Aker - Nieuw Sloten,52.34255,4.80578,Golfbaan Sloten,52.33932852745056,4.806550741195679,Golf Course
36,De Aker - Nieuw Sloten,52.34255,4.80578,Robic Wielerlab,52.339841,4.808852,Athletics & Sports
37,De Aker - Nieuw Sloten,52.34255,4.80578,Tramhalte Oudenaardeplantsoen,52.34575700888542,4.804167722666789,Tram Station
38,De Aker - Nieuw Sloten,52.34255,4.80578,Be Fresh,52.34569216487811,4.807673350382753,Food Truck
39,De Aker - Nieuw Sloten,52.34255,4.80578,Squashcentrum Match,52.34520713530824,4.809401926579286,Gym / Fitness Center
40,De Aker - Nieuw Sloten,52.34255,4.80578,Eetcafé Match,52.34528390156318,4.809381039168457,Sports Bar
41,De Aker - Nieuw Sloten,52.34255,4.80578,Xenios Veld 4,52.338936,4.8042545,Hockey Field
42,De Aker - Nieuw Sloten,52.34255,4.80578,Gill's Fastfood,52.345301976204745,4.811319065332883,Snack Place
43,De Aker - Nieuw Sloten,52.34255,4.80578,Hulleman brood en banket,52.34529899608376,4.811319442631624,Bakery
44,Geuzenveld - Slotermeer,52.38277,4.80351,Toko Makasar,52.379226000351665,4.8033762790789005,Grocery Store
45,Geuzenveld - Slotermeer,52.38277,4.80351,ikea haarlem,52.38306371240049,4.809012392897289,Furniture / Home Store
46,Geuzenveld - Slotermeer,52.38277,4.80351,Mamma Rosa,52.38230630165417,4.802802939092752,Italian Restaurant
47,Geuzenveld - Slotermeer,52.38277,4.80351,Bushalte Dr.H.Colijnstraat,52.38244437441093,4.805592107720451,Bus Stop
48,Geuzenveld - Slotermeer,52.38277,4.80351,Bushalte J. Cabeliaustraat,52.38229427942488,4.803581128927527,Bus Stop
49,Geuzenveld - Slotermeer,52.38277,4.80351,Snackbar de Noodstop,52.3825459630324,4.806138298113712,Snack Place
50,Geuzenveld - Slotermeer,52.38277,4.80351,Lidl Geuzenveld,52.382137377855386,4.7977700352959145,Supermarket
51,Geuzenveld - Slotermeer,52.38277,4.80351,Eendrachtspark,52.3819484066788,4.80812578163485,Park
52,Geuzenveld - Slotermeer,52.38277,4.80351,Brettenpad,52.38583831306681,4.8032820773351235,Park
53,Geuzenveld - Slotermeer,52.38277,4.80351,Bushalte Aalbersestraat,52.38243130473794,4.797922241121617,Bus Stop
54,Geuzenveld - Slotermeer,52.38277,4.80351,Bakkerij Kara Firi,52.37932243319106,4.803771960221992,Bakery
55,Geuzenveld - Slotermeer,52.38277,4.80351,EMRE Supermarkt,52.37929273349481,4.8039043826549115,Market
56,Geuzenveld - Slotermeer,52.38277,4.80351,Vomar Geuzenpoort Amsterdam,52.37920434184453,4.800849717730753,Grocery Store
57,Slotervaart,52.35896,4.81951,Du Maroc,52.35906467418428,4.825952269530379,Moroccan Restaurant
58,Slotervaart,52.35896,4.81951,Christoffel Plantijnpad - Fietspad,52.356672,4.819031,Trail
59,Slotervaart,52.35896,4.81951,Piet Wiedijkpark,52.35670647012787,4.8206473386768,Park
60,Slotervaart,52.35896,4.81951,Watersportcentrum Sloterplas,52.36030580876479,4.8157258219617125,Harbor / Marina
61,Slotervaart,52.35896,4.81951,Carlson Gracie Holland,52.36046230442928,4.823717337812975,Martial Arts School
62,Slotervaart,52.35896,4.81951,Bushalte Piet Wiedijkstraat,52.357353368472204,4.815042917655123,Bus Stop
63,Slotervaart,52.35896,4.81951,Haven Sloterplas Osdorp,52.35677724652088,4.8143988834723555,Harbor / Marina
64,Osdorp,52.36709,4.79332,Amsterdam Pirates,52.36680381590902,4.799157724829684,Baseball Field
65,Osdorp,52.36709,4.79332,Devo58,52.36786525662117,4.795786537681637,Soccer Field
66,Osdorp,52.36709,4.79332,HollandschSchouwburg monument Holocaust Museum,52.366534376643784,4.7936380695710055,History Museum
67,Osdorp,52.36709,4.79332,Galatasaray Football Academy Amsterdam,52.3672943152939,4.786627330641033,Soccer Field
68,Osdorp,52.36709,4.79332,Speeltuin Wolbrantskerkweg,52.36274823098628,4.795252348491098,Playground
69,Slotervaart,52.35896,4.81951,Du Maroc,52.35906467418428,4.825952269530379,Moroccan Restaurant
70,Slotervaart,52.35896,4.81951,Christoffel Plantijnpad - Fietspad,52.356672,4.819031,Trail
71,Slotervaart,52.35896,4.81951,Piet Wiedijkpark,52.35670647012787,4.8206473386768,Park
72,Slotervaart,52.35896,4.81951,Watersportcentrum Sloterplas,52.36030580876479,4.8157258219617125,Harbor / Marina
73,Slotervaart,52.35896,4.81951,Carlson Gracie Holland,52.36046230442928,4.823717337812975,Martial Arts School
74,Slotervaart,52.35896,4.81951,Bushalte Piet Wiedijkstraat,52.357353368472204,4.815042917655123,Bus Stop
75,Slotervaart,52.35896,4.81951,Haven Sloterplas Osdorp,52.35677724652088,4.8143988834723555,Harbor / Marina
76,Slotervaart,52.35896,4.81951,Du Maroc,52.35906467418428,4.825952269530379,Moroccan Restaurant
77,Slotervaart,52.35896,4.81951,Christoffel Plantijnpad - Fietspad,52.356672,4.819031,Trail
78,Slotervaart,52.35896,4.81951,Piet Wiedijkpark,52.35670647012787,4.8206473386768,Park
79,Slotervaart,52.35896,4.81951,Watersportcentrum Sloterplas,52.36030580876479,4.8157258219617125,Harbor / Marina
80,Slotervaart,52.35896,4.81951,Carlson Gracie Holland,52.36046230442928,4.823717337812975,Martial Arts School
81,Slotervaart,52.35896,4.81951,Bushalte Piet Wiedijkstraat,52.357353368472204,4.815042917655123,Bus Stop
82,Slotervaart,52.35896,4.81951,Haven Sloterplas Osdorp,52.35677724652088,4.8143988834723555,Harbor / Marina
83,Osdorp,52.35969,4.79162,Şerifoğlu Osdorp,52.35729320045701,4.795337960192134,Dessert Shop
