Name,Address,Latitude,Longitude,Provider1,Providerprice1,Provider2,Providerprice2,Provider3,Providerprice3,Provider4,Providerprice4,Provider5,Providerprice5,URL
Hotel Adlon Kempinski Berlin,"Unter den Linden 77, 10117 Berlín Alemania",52.5161171,13.38028622,Tripadvisor,477.86,Booking.com,,Hotels.com,,Agoda.com,,Expedia,,https://www.tripadvisor.es/Hotel_Review-g187323-d190694-Reviews-Hotel_Adlon_Kempinski_Berlin-Berlin.html
Regent Berlin,"Charlottenstrasse 49, 10117 Berlín Alemania",52.51528549,13.39096069,RegentHotels,381.1729,Booking.com,,Hotels.com,,Agoda.com,,Expedia,,https://www.tripadvisor.es/Hotel_Review-g187323-d190664-Reviews-Regent_Berlin-Berlin.html
Waldorf Astoria Berlin,"Hardenbergstrasse 28, 10623 Berlín Alemania",52.50579071,13.3327446,Tripadvisor,380.79,Booking.com,,Hotels.com,,Agoda.com,,Expedia,,https://www.tripadvisor.es/Hotel_Review-g187323-d2481544-Reviews-Waldorf_Astoria_Berlin-Berlin.html
SO/ Berlin Das Stue,"Drakestr. 1, 10787 Berlín Alemania",52.50969696,13.34616089,Sofitel,374.1998,Booking.com,,Hotels.com,,Expedia,392.0775,Agoda.com,,https://www.tripadvisor.es/Hotel_Review-g187323-d3505235-Reviews-SO_Berlin_Das_Stue-Berlin.html
Myer's Hotel - Berlin,"Metzer Str. 26, 10405 Berlín Alemania",52.53134155,13.41814137,Tripadvisor,265.6,Booking.com,,Hotels.com,,Expedia,277.7576,Agoda.com,,https://www.tripadvisor.es/Hotel_Review-g187323-d299990-Reviews-Myer_s_Hotel_Berlin-Berlin.html
Berlin Gorki Apartments,"Weinbergsweg 25, 10119 Berlín Alemania",52.5306282,13.40147781,Tripadvisor,223.72,Booking.com,,Expedia,223.102,Hotels.com,,Agoda.com,,https://www.tripadvisor.es/Hotel_Review-g187323-d6401671-Reviews-Berlin_Gorki_Apartments-Berlin.html
Hotel Berlin Central District,"Stauffenbergstr. 26, 10785 Berlín Alemania",52.50735092,13.36361599,Tripadvisor,188.69,Booking.com,,Expedia,188.5148,Hotels.com,,Agoda.com,,https://www.tripadvisor.es/Hotel_Review-g187323-d543299-Reviews-Hotel_Berlin_Central_District-Berlin.html
HONIGMOND Boutique Hotel,"Tieckstrasse 11 Mitte, 10115 Berlín Alemania",52.52958679,13.38912868,Tripadvisor,184.53,Booking.com,,Hotels.com,,Agoda.com,,Expedia,,https://www.tripadvisor.es/Hotel_Review-g187323-d234919-Reviews-HONIGMOND_Boutique_Hotel-Berlin.html
Hilton Berlin,"Mohrenstrasse 30, 10117 Berlín Alemania",52.51230621,13.39255047,Tripadvisor,182.78,Hilton,,Booking.com,,Expedia,182.0458,Hotels.com,,https://www.tripadvisor.es/Hotel_Review-g187323-d191438-Reviews-Hilton_Berlin-Berlin.html
Hotel Vita Berlin,"Heerstrasse 12 - 14, 14052 Berlín Alemania",52.50939178,13.26766968,Tripadvisor,178.64,Booking.com,,Hotels.com,,Agoda.com,,Expedia,,https://www.tripadvisor.es/Hotel_Review-g187323-d13564788-Reviews-Hotel_Vita_Berlin-Berlin.html
Garden Living,"Invalidenstr. 101, 10115 Berlín Alemania",52.52965546,13.38038063,Tripadvisor,175.29,Booking.com,,Agoda.com,,Trip.com,,,,https://www.tripadvisor.es/Hotel_Review-g187323-d4425246-Reviews-Garden_Living-Berlin.html
